stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
S1123,S2409,5.55777,-0.239798,5.56149,-0.238558
S1123,T2470,5.55777,-0.239798,5.56428,-0.236105
S1123,T75,5.55777,-0.239798,5.56507,-0.235921
S1123,S2608,5.55777,-0.239798,5.5634,-0.237487
S1125,T1081,5.55599,-0.232976,5.54539,-0.215964
S1129,T75,5.57285,-0.248525,5.56507,-0.235921
S1129,S1716,5.57285,-0.248525,5.57405,-0.250359
S1133,S1135,5.5645,-0.23443,5.57128,-0.245596
S1135,T1127,5.57128,-0.245596,5.57355,-0.249583
S1139,S914,5.53538,-0.229992,5.53613,-0.226771
S1145,T1146,5.53855,-0.211671,5.54146,-0.209251
S1149,S937,5.53685,-0.223547,5.53619,-0.226506
S1149,S937,5.53685,-0.223547,5.53619,-0.226506
S1149,S937,5.53685,-0.223547,5.53619,-0.226506
S115,S116,5.5654,-0.2253,5.58624,-0.248295
S1153,S937,5.53479,-0.23291,5.53619,-0.226506
S1153,S1154,5.53479,-0.23291,5.53375,-0.237963
S1153,S4658,5.53479,-0.23291,5.53865,-0.238875
S1153,S2652,5.53479,-0.23291,5.53714,-0.238415
S1153,S5124,5.53479,-0.23291,5.53682,-0.223647
S1154,S999,5.53375,-0.237963,5.534,-0.240412
S1154,S2093,5.53375,-0.237963,5.5348,-0.244422
S116,S117,5.58624,-0.248295,5.58597,-0.251554
S1164,S1166,5.53359,-0.211741,5.54397,-0.204498
S1164,S4352,5.53359,-0.211741,5.5401,-0.207545
S1164,S2318,5.53359,-0.211741,5.53721,-0.210101
S1166,T244,5.54397,-0.204498,5.54863,-0.201709
S1166,T2086,5.54397,-0.204498,5.54852,-0.201552
S1166,T244,5.54397,-0.204498,5.54863,-0.201709
S1166,T244,5.54397,-0.204498,5.54863,-0.201709
S117,T118,5.58597,-0.251554,5.58776,-0.251448
S117,S1992,5.58597,-0.251554,5.5935,-0.252231
S117,S2330,5.58597,-0.251554,5.59091,-0.252283
S117,T118,5.58597,-0.251554,5.58776,-0.251448
S1171,S1173,5.54214,-0.208722,5.53859,-0.215012
S1173,S1149,5.53859,-0.215012,5.53685,-0.223547
S1179,T1180,5.53999,-0.251639,5.54229,-0.255874
S1179,S4922,5.53999,-0.251639,5.54185,-0.254933
S1183,S757,5.58734,-0.174806,5.57582,-0.152084
