stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
S231,T232,5.58872,-0.218139,5.62117,-0.226022
S231,S241,5.58872,-0.218139,5.59872,-0.223758
S231,S1039,5.58872,-0.218139,5.59415,-0.216658
S2311,S2578,5.52922,-0.264124,5.52752,-0.266171
S2311,T2285,5.52922,-0.264124,5.52956,-0.270027
S2311,S2580,5.52922,-0.264124,5.53223,-0.248248
S2315,S2316,5.52462,-0.271656,5.52539,-0.271253
S2316,S2289,5.52539,-0.271253,5.52897,-0.264425
S2318,S2300,5.53721,-0.210101,5.54146,-0.209183
S2318,S2672,5.53721,-0.210101,5.54167,-0.206408
S2318,T1146,5.53721,-0.210101,5.54146,-0.209251
S2323,S2324,5.52574,-0.270957,5.52447,-0.271887
S2324,T2313,5.52447,-0.271887,5.52176,-0.273748
S2328,S117,5.58249,-0.251672,5.58597,-0.251554
S2330,S2332,5.59091,-0.252283,5.59608,-0.253208
S2332,S2333,5.59608,-0.253208,5.59876,-0.254708
S2333,S2334,5.59876,-0.254708,5.59986,-0.255146
S2334,S2335,5.59986,-0.255146,5.60515,-0.252326
S2335,S1993,5.60515,-0.252326,5.60262,-0.258491
S2335,S2998,5.60515,-0.252326,5.60594,-0.249552
S2337,S1798,5.60907,-0.238133,5.61652,-0.229474
S2340,S2341,5.63572,-0.214421,5.65146,-0.209448
S2341,T2342,5.65146,-0.209448,5.66722,-0.204611
S2345,S504,5.64487,-0.210509,5.63739,-0.213178
S235,S237,5.57046,-0.200013,5.56256,-0.204417
S235,S2943,5.57046,-0.200013,5.56406,-0.201824
S235,S3617,5.57046,-0.200013,5.56077,-0.200942
S2351,S2352,5.62098,-0.223636,5.62097,-0.226134
S2352,S2354,5.62097,-0.226134,5.61962,-0.230456
S2352,S5769,5.62097,-0.226134,5.60937,-0.23828
S2354,S2355,5.61962,-0.230456,5.61579,-0.22952
S2355,S2356,5.61579,-0.22952,5.61053,-0.233933
S2355,S2981,5.61579,-0.22952,5.61058,-0.234195
S2356,S2357,5.61053,-0.233933,5.60781,-0.24579
S2356,S1331,5.61053,-0.233933,5.60938,-0.210393
S2357,S2359,5.60781,-0.24579,5.60706,-0.248526
S2357,T2838,5.60781,-0.24579,5.59229,-0.268183
S2357,S486,5.60781,-0.24579,5.60912,-0.238147
S2357,S486,5.60781,-0.24579,5.60912,-0.238147
S2359,S881,5.60706,-0.248526,5.60543,-0.251965
S2362,S2363,5.60077,-0.255516,5.59839,-0.254556
S2363,S2364,5.59839,-0.254556,5.59577,-0.252988
S2364,S2365,5.59577,-0.252988,5.5929,-0.252417
S2365,S2366,5.5929,-0.252417,5.58862,-0.251135
S2366,T2166,5.58862,-0.251135,5.57733,-0.254656
S237,S238,5.56256,-0.204417,5.55745,-0.205691
S237,T1471,5.56256,-0.204417,5.56265,-0.200297
S2370,S2371,5.56765,-0.257666,5.5669,-0.258246
S2370,S5088,5.56765,-0.257666,5.56528,-0.26291
S2371,S2373,5.5669,-0.258246,5.56302,-0.260301
S2371,T4518,5.5669,-0.258246,5.57124,-0.272289
S2373,S1923,5.56302,-0.260301,5.56074,-0.260292
S2375,S1877,5.54979,-0.264626,5.54375,-0.264573
S2375,S210,5.54979,-0.264626,5.53142,-0.257723
S238,S6083,5.55745,-0.205691,5.55406,-0.204885
S238,S239,5.55745,-0.205691,5.55409,-0.204848
S238,S2945,5.55745,-0.205691,5.55395,-0.204832
S238,T3110,5.55745,-0.205691,5.55391,-0.204904
S2380,T211,5.53312,-0.265282,5.53009,-0.265223
S2387,S2388,5.5583,-0.264003,5.55864,-0.261176
S2388,S2390,5.55864,-0.261176,5.56011,-0.260191
S239,T240,5.55409,-0.204848,5.54892,-0.200761
S239,T244,5.55409,-0.204848,5.54863,-0.201709
S239,T244,5.55409,-0.204848,5.54863,-0.201709
S2390,S1933,5.56011,-0.260191,5.56665,-0.258371
S2394,S1932,5.56819,-0.256525,5.57032,-0.255401
S24,S25,5.58513,-0.212859,5.58513,-0.210003
S2401,S2403,5.55347,-0.24754,5.55113,-0.247496
S2401,S3891,5.55347,-0.24754,5.55171,-0.247601
S2401,S4694,5.55347,-0.24754,5.55453,-0.24741
S2401,S2403,5.55347,-0.24754,5.55113,-0.247496
S2401,S4932,5.55347,-0.24754,5.55061,-0.249292
S2403,T2404,5.55113,-0.247496,5.5505,-0.250045
S2403,T2404,5.55113,-0.247496,5.5505,-0.250045
S2407,S2409,5.55755,-0.244495,5.56149,-0.238558
S2409,S2410,5.56149,-0.238558,5.56225,-0.237482
S2409,T2470,5.56149,-0.238558,5.56428,-0.236105
S2409,T75,5.56149,-0.238558,5.56507,-0.235921
S2409,T75,5.56149,-0.238558,5.56507,-0.235921
S241,S5476,5.59872,-0.223758,5.59893,-0.22788
S241,S242,5.59872,-0.223758,5.60422,-0.225659
S241,S267,5.59872,-0.223758,5.60589,-0.225818
S241,S1542,5.59872,-0.223758,5.57781,-0.21679
S2410,T75,5.56225,-0.237482,5.56507,-0.235921
S2414,T2415,5.58925,-0.241765,5.59031,-0.247192
S242,S243,5.60422,-0.225659,5.61653,-0.229452
S242,S475,5.60422,-0.225659,5.6091,-0.226693
S2421,S2422,5.5534,-0.243858,5.54802,-0.243843
S2422,S2423,5.54802,-0.243843,5.54676,-0.244155
S2423,S2424,5.54676,-0.244155,5.54673,-0.246117
S2424,S2425,5.54673,-0.246117,5.54275,-0.247412
S2425,S2426,5.54275,-0.247412,5.54304,-0.248923
S2426,S2428,5.54304,-0.248923,5.54527,-0.249101
S2428,S2429,5.54527,-0.249101,5.54522,-0.250217
S2429,T2431,5.54522,-0.250217,5.54518,-0.252092
S243,T244,5.61653,-0.229452,5.54863,-0.201709
S243,S249,5.61653,-0.229452,5.62249,-0.225911
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S243,T251,5.61653,-0.229452,5.62079,-0.225837
S2434,S2435,5.54531,-0.24907,5.54298,-0.248923
S2435,S2436,5.54298,-0.248923,5.54273,-0.247438
S2436,S2437,5.54273,-0.247438,5.54825,-0.240152
S2437,S2438,5.54825,-0.240152,5.5564,-0.240131
S2437,S2582,5.54825,-0.240152,5.55115,-0.240086
S2437,S2468,5.54825,-0.240152,5.54131,-0.239364
S2437,S4900,5.54825,-0.240152,5.53997,-0.251507
S2437,T4977,5.54825,-0.240152,5.55588,-0.240146
S2437,S1153,5.54825,-0.240152,5.53479,-0.23291
S2438,T75,5.5564,-0.240131,5.56507,-0.235921
S2438,S1123,5.5564,-0.240131,5.55777,-0.239798
S2438,S1123,5.5564,-0.240131,5.55777,-0.239798
S2438,S2409,5.5564,-0.240131,5.56149,-0.238558
S2442,S2443,5.57119,-0.237531,5.57733,-0.23858
S2443,T1216,5.57733,-0.23858,5.58039,-0.239548
S2447,T75,5.57704,-0.238537,5.56507,-0.235921
S2451,S2452,5.55661,-0.240196,5.55333,-0.240213
S2452,S2453,5.55333,-0.240213,5.55077,-0.24021
S2452,S5108,5.55333,-0.240213,5.55558,-0.244187
S2453,S2454,5.55077,-0.24021,5.53911,-0.243926
S2454,S2455,5.53911,-0.243926,5.53835,-0.245034
S2455,S991,5.53835,-0.245034,5.53561,-0.246314
S2455,T212,5.53835,-0.245034,5.52948,-0.263656
S2457,S2458,5.53565,-0.247446,5.53566,-0.248585
S2458,S993,5.53566,-0.248585,5.53564,-0.252672
S246,S247,5.60171,-0.224957,5.60876,-0.226565
S2463,S2464,5.53598,-0.253683,5.53561,-0.251478
S2464,S934,5.53561,-0.251478,5.53569,-0.246252
S2467,S2468,5.53885,-0.244557,5.54131,-0.239364
S2468,T75,5.54131,-0.239364,5.56507,-0.235921
S2468,S2488,5.54131,-0.239364,5.55095,-0.240095
S2468,T75,5.54131,-0.239364,5.56507,-0.235921
S2468,S2583,5.54131,-0.239364,5.55348,-0.240148
S2468,S4661,5.54131,-0.239364,5.54322,-0.241526
S2468,S4683,5.54131,-0.239364,5.54321,-0.241543
S2468,S4834,5.54131,-0.239364,5.53437,-0.2378
S2468,S4897,5.54131,-0.239364,5.54114,-0.24367
S247,S243,5.60876,-0.226565,5.61653,-0.229452
S2472,S2473,5.53474,-0.242319,5.53321,-0.242743
S2472,S4635,5.53474,-0.242319,5.53686,-0.223365
S2472,S4635,5.53474,-0.242319,5.53686,-0.223365
S2472,S4988,5.53474,-0.242319,5.53331,-0.24276
S2473,S2474,5.53321,-0.242743,5.53078,-0.242442
S2474,S2475,5.53078,-0.242442,5.52749,-0.242185
S2474,S2731,5.53078,-0.242442,5.52754,-0.242209
S2475,S890,5.52749,-0.242185,5.52687,-0.243834
S2481,S2482,5.52643,-0.248837,5.52665,-0.246168
S2482,S2483,5.52665,-0.246168,5.53043,-0.242682
S2483,S2484,5.53043,-0.242682,5.53291,-0.242497
S2484,S2486,5.53291,-0.242497,5.53628,-0.241421
S2486,S2487,5.53628,-0.241421,5.54401,-0.240143
S2487,S2488,5.54401,-0.240143,5.55095,-0.240095
S2488,S2437,5.55095,-0.240095,5.54825,-0.240152
S2488,S1123,5.55095,-0.240095,5.55777,-0.239798
S2488,S2438,5.55095,-0.240095,5.5564,-0.240131
S2488,S2438,5.55095,-0.240095,5.5564,-0.240131
S2488,T4977,5.55095,-0.240095,5.55588,-0.240146
S249,T232,5.62249,-0.225911,5.62117,-0.226022
S2495,T2496,5.53871,-0.23886,5.53396,-0.2362
S2495,S2730,5.53871,-0.23886,5.53503,-0.242382
S25,S26,5.58513,-0.210003,5.58489,-0.208197
S2508,S2509,5.57817,-0.200566,5.5812,-0.198854
S2508,T136,5.57817,-0.200566,5.58137,-0.198538
S2509,S2510,5.5812,-0.198854,5.58836,-0.196567
S2510,T1601,5.58836,-0.196567,5.59327,-0.194974
S2510,S3942,5.58836,-0.196567,5.59591,-0.193901
S2510,S4085,5.58836,-0.196567,5.57738,-0.200805
S2515,S2516,5.5816,-0.198678,5.57929,-0.199975
S2516,S2517,5.57929,-0.199975,5.57024,-0.213534
S2517,T75,5.57024,-0.213534,5.56507,-0.235921
S2517,S2559,5.57024,-0.213534,5.56871,-0.219273
S2517,T1206,5.57024,-0.213534,5.56959,-0.216475
S2522,S2523,5.61747,-0.193986,5.64155,-0.178125
S2522,S3003,5.61747,-0.193986,5.61996,-0.185724
S2522,S3004,5.61747,-0.193986,5.62217,-0.174665
S2523,S1573,5.64155,-0.178125,5.6665,-0.177027
S2523,S3007,5.64155,-0.178125,5.65184,-0.180065
S2523,S1573,5.64155,-0.178125,5.6665,-0.177027
S2523,S3512,5.64155,-0.178125,5.65176,-0.180143
S2523,S3512,5.64155,-0.178125,5.65176,-0.180143
S2523,S3663,5.64155,-0.178125,5.65183,-0.180046
S2523,S4446,5.64155,-0.178125,5.65666,-0.179631
S2528,S286,5.67916,-0.172712,5.69659,-0.171596
S2528,S286,5.67916,-0.172712,5.69659,-0.171596
S2528,S286,5.67916,-0.172712,5.69659,-0.171596
S2528,S286,5.67916,-0.172712,5.69659,-0.171596
S2530,T288,5.70542,-0.17107,5.70447,-0.167787
S2534,S294,5.69659,-0.171975,5.68093,-0.172131
S2536,S1581,5.67781,-0.173272,5.66816,-0.177077
S254,T1043,5.57268,-0.216401,5.56932,-0.215881
S254,S222,5.57268,-0.216401,5.55675,-0.212108
S2540,S2541,5.65397,-0.1808,5.64835,-0.179825
S2540,S3529,5.65397,-0.1808,5.64831,-0.179937
S2541,S1585,5.64835,-0.179825,5.63984,-0.178143
S2547,S1588,5.60452,-0.178003,5.59125,-0.180975
S2547,S2026,5.60452,-0.178003,5.59186,-0.180872
S2547,S1588,5.60452,-0.178003,5.59125,-0.180975
S2547,S4463,5.60452,-0.178003,5.59813,-0.179567
S2555,S2517,5.5729,-0.206441,5.57024,-0.213534
S2559,S2561,5.56871,-0.219273,5.56248,-0.228629
S2561,S2562,5.56248,-0.228629,5.56211,-0.230497
S2562,T75,5.56211,-0.230497,5.56507,-0.235921
S2566,S2567,5.53469,-0.244497,5.53229,-0.248253
S2566,S2472,5.53469,-0.244497,5.53474,-0.242319
S2567,S2294,5.53229,-0.248253,5.53194,-0.253713
S2578,S4283,5.52752,-0.266171,5.52826,-0.268384
S2578,S4310,5.52752,-0.266171,5.52842,-0.26857
S2578,S4284,5.52752,-0.266171,5.52954,-0.269861
S2578,S4284,5.52752,-0.266171,5.52954,-0.269861
S2580,S2437,5.53223,-0.248248,5.54825,-0.240152
S2582,S2583,5.55115,-0.240086,5.55348,-0.240148
S2583,S2488,5.55348,-0.240148,5.55095,-0.240095
S2583,S2438,5.55348,-0.240148,5.5564,-0.240131
S2583,S1123,5.55348,-0.240148,5.55777,-0.239798
S2583,S4710,5.55348,-0.240148,5.5554,-0.244373
S2589,S2590,5.54875,-0.240271,5.53794,-0.239467
S2590,S2591,5.53794,-0.239467,5.53639,-0.241167
S2590,S2472,5.53794,-0.239467,5.53474,-0.242319
S2591,S2592,5.53639,-0.241167,5.53537,-0.24208
S2592,S928,5.53537,-0.24208,5.53505,-0.243597
S2594,S2595,5.53489,-0.243068,5.53102,-0.25027
S2599,S2600,5.53502,-0.242367,5.5379,-0.239831
S26,S27,5.58489,-0.208197,5.58337,-0.208371
S26,S2901,5.58489,-0.208197,5.58683,-0.20771
S2600,S2468,5.5379,-0.239831,5.54131,-0.239364
S2600,S2437,5.5379,-0.239831,5.54825,-0.240152
S2608,T2470,5.5634,-0.237487,5.56428,-0.236105
S261,S262,5.55328,-0.208512,5.56234,-0.2108
S2612,S2613,5.57848,-0.215758,5.57692,-0.208636
S2613,S2614,5.57692,-0.208636,5.57822,-0.207453
S2614,S2615,5.57822,-0.207453,5.57998,-0.206251
S2615,T2616,5.57998,-0.206251,5.58536,-0.207974
S262,S263,5.56234,-0.2108,5.57228,-0.216067
S2622,S947,5.56268,-0.24557,5.55902,-0.247249
S2627,S2628,5.55594,-0.253374,5.55539,-0.254737
S2628,T953,5.55539,-0.254737,5.5544,-0.253545
S263,S231,5.57228,-0.216067,5.58872,-0.218139
S2632,S1122,5.55681,-0.251152,5.55971,-0.251631
S2634,S2635,5.55909,-0.246307,5.56123,-0.245721
S2634,T75,5.55909,-0.246307,5.56507,-0.235921
S2635,S2636,5.56123,-0.245721,5.56832,-0.242789
S2636,S2637,5.56832,-0.242789,5.56579,-0.236654
S2637,T75,5.56579,-0.236654,5.56507,-0.235921
S2641,S2082,5.53673,-0.238448,5.53313,-0.237482
S2641,S4675,5.53673,-0.238448,5.53428,-0.237663
S2646,S2647,5.53122,-0.232282,5.53176,-0.23244
S2647,S2649,5.53176,-0.23244,5.53174,-0.235292
S2649,S2650,5.53174,-0.235292,5.53299,-0.237516
S2650,S2652,5.53299,-0.237516,5.53714,-0.238415
S2652,S2488,5.53714,-0.238415,5.55095,-0.240095
S2652,S2468,5.53714,-0.238415,5.54131,-0.239364
S2664,S2665,5.5386,-0.222124,5.53735,-0.220749
S2665,S2666,5.53735,-0.220749,5.53822,-0.217458
S2666,S925,5.53822,-0.217458,5.53856,-0.21552
S2666,S914,5.53822,-0.217458,5.53613,-0.226771
S2668,S2669,5.53833,-0.213022,5.5355,-0.21163
S2668,S4224,5.53833,-0.213022,5.53751,-0.210325
S2669,S2318,5.5355,-0.21163,5.53721,-0.210101
S267,S268,5.60589,-0.225818,5.61057,-0.22773
S2672,S2673,5.54167,-0.206408,5.54272,-0.206959
S2673,T2674,5.54272,-0.206959,5.54735,-0.207046
S2673,S1312,5.54272,-0.206959,5.54309,-0.216124
S2677,S1025,5.55644,-0.21247,5.56335,-0.232579
S268,S243,5.61057,-0.22773,5.61653,-0.229452
S2682,S2683,5.58844,-0.234181,5.58978,-0.236944
S2683,T2684,5.58978,-0.236944,5.59653,-0.23697
S2687,T2688,5.58905,-0.236287,5.59936,-0.248018
S2697,T75,5.57861,-0.227752,5.56507,-0.235921
S27,T28,5.58337,-0.208371,5.58201,-0.208863
S27,S557,5.58337,-0.208371,5.58158,-0.209049
S2702,S43,5.5821,-0.230399,5.5851,-0.231863
S2707,S2708,5.57209,-0.231088,5.56755,-0.235062
S2708,T75,5.56755,-0.235062,5.56507,-0.235921
S271,S205,5.56761,-0.215006,5.56302,-0.213889
S2721,T2497,5.54308,-0.239847,5.53665,-0.230805
S2730,S2731,5.53503,-0.242382,5.52754,-0.242209
S2731,T2732,5.52754,-0.242209,5.52653,-0.246156
S2731,S890,5.52754,-0.242209,5.52687,-0.243834
S2735,S2409,5.52805,-0.242295,5.56149,-0.238558
S2748,T953,5.5594,-0.251895,5.5544,-0.253545
S2752,S2634,5.55879,-0.246698,5.55909,-0.246307
S2757,S2758,5.61258,-0.202457,5.60865,-0.206522
S2758,S551,5.60865,-0.206522,5.60759,-0.207609
S276,S277,5.66738,-0.19908,5.66951,-0.178957
S2760,S2194,5.60326,-0.204865,5.59826,-0.198371
S2763,S2764,5.59586,-0.200775,5.59052,-0.206835
S2764,T2196,5.59052,-0.206835,5.57357,-0.214978
S2768,S2769,5.57671,-0.21271,5.57943,-0.21057
S2769,S1340,5.57943,-0.21057,5.58138,-0.209198
S277,S278,5.66951,-0.178957,5.66794,-0.176689
S2773,S2775,5.58225,-0.208613,5.5842,-0.208174
S2775,S1337,5.5842,-0.208174,5.58969,-0.207225
S278,S280,5.66794,-0.176689,5.67101,-0.175265
S278,S282,5.66794,-0.176689,5.67575,-0.173581
S278,S280,5.66794,-0.176689,5.67101,-0.175265
S278,S3124,5.66794,-0.176689,5.67577,-0.173618
S278,S282,5.66794,-0.176689,5.67575,-0.173581
S278,T534,5.66794,-0.176689,5.67642,-0.172071
S278,S282,5.66794,-0.176689,5.67575,-0.173581
S278,S280,5.66794,-0.176689,5.67101,-0.175265
S2782,S2784,5.61293,-0.202042,5.61405,-0.195842
S2784,T2187,5.61405,-0.195842,5.61726,-0.194658
S2788,S2790,5.58748,-0.232571,5.59874,-0.234242
S2790,S5460,5.59874,-0.234242,5.59878,-0.234727
S2790,S1530,5.59874,-0.234242,5.6006,-0.238944
S2792,T0,5.60205,-0.239937,5.6074,-0.247032
S2796,S2797,5.58197,-0.230358,5.57685,-0.227462
S2797,S2799,5.57685,-0.227462,5.57425,-0.230604
S2799,S1535,5.57425,-0.230604,5.60076,-0.23916
S2799,S2801,5.57425,-0.230604,5.56625,-0.233752
S2799,S3372,5.57425,-0.230604,5.57945,-0.22842
S280,S282,5.67101,-0.175265,5.67575,-0.173581
S280,S282,5.67101,-0.175265,5.67575,-0.173581
S280,S282,5.67101,-0.175265,5.67575,-0.173581
S280,S282,5.67101,-0.175265,5.67575,-0.173581
S280,S282,5.67101,-0.175265,5.67575,-0.173581
S2801,S2802,5.56625,-0.233752,5.55406,-0.231578
S2802,S2803,5.55406,-0.231578,5.53688,-0.223369
S2803,S1001,5.53688,-0.223369,5.53562,-0.228926
S2803,T2497,5.53688,-0.223369,5.53665,-0.230805
S2808,S2809,5.57246,-0.230694,5.57815,-0.227863
S2809,S2810,5.57815,-0.227863,5.57943,-0.228456
S2810,S2811,5.57943,-0.228456,5.59914,-0.235595
S2811,S2812,5.59914,-0.235595,5.60062,-0.238626
S2812,T0,5.60062,-0.238626,5.6074,-0.247032
S2818,S2819,5.56054,-0.229796,5.54296,-0.226269
S2819,T2497,5.54296,-0.226269,5.53665,-0.230805
S282,S283,5.67575,-0.173581,5.67665,-0.179199
S282,S1575,5.67575,-0.173581,5.67605,-0.173605
S282,T534,5.67575,-0.173581,5.67642,-0.172071
S282,S2528,5.67575,-0.173581,5.67916,-0.172712
S282,T534,5.67575,-0.173581,5.67642,-0.172071
S282,S2528,5.67575,-0.173581,5.67916,-0.172712
S282,T534,5.67575,-0.173581,5.67642,-0.172071
S282,S2528,5.67575,-0.173581,5.67916,-0.172712
S282,T534,5.67575,-0.173581,5.67642,-0.172071
S2823,S5416,5.56546,-0.288968,5.55584,-0.303924
S2823,S2824,5.56546,-0.288968,5.55351,-0.319786
S2823,S4185,5.56546,-0.288968,5.559,-0.295485
S2824,S2825,5.55351,-0.319786,5.55101,-0.330244
S2825,S99,5.55101,-0.330244,5.5392,-0.398675
S283,S285,5.67665,-0.179199,5.68757,-0.171288
S2836,S2837,5.58069,-0.262277,5.58351,-0.264315
S2837,T2838,5.58351,-0.264315,5.59229,-0.268183
S2841,S111,5.58592,-0.264892,5.56564,-0.236896
S2843,S2178,5.55784,-0.231372,5.55393,-0.231442
S2849,S1717,5.57322,-0.248681,5.57723,-0.255541
S285,S286,5.68757,-0.171288,5.69659,-0.171596
S2851,S2852,5.58045,-0.263726,5.57838,-0.270469
S2852,S1754,5.57838,-0.270469,5.57362,-0.27929
S286,S287,5.69659,-0.171596,5.70023,-0.171587
S286,S2530,5.69659,-0.171596,5.70542,-0.17107
S286,T288,5.69659,-0.171596,5.70447,-0.167787
S286,S3519,5.69659,-0.171596,5.69996,-0.171722
S286,S4062,5.69659,-0.171596,5.70003,-0.171688
S287,T288,5.70023,-0.171587,5.70447,-0.167787
S2879,T2880,5.59027,-0.182944,5.58888,-0.17977
S2879,T2880,5.59027,-0.182944,5.58888,-0.17977
S2879,T2880,5.59027,-0.182944,5.58888,-0.17977
S2879,T2880,5.59027,-0.182944,5.58888,-0.17977
S2885,S2886,5.59468,-0.202276,5.59339,-0.203297
S2885,S3326,5.59468,-0.202276,5.59204,-0.205446
S2885,T3443,5.59468,-0.202276,5.59803,-0.198444
S2886,T470,5.59339,-0.203297,5.59591,-0.209171
S2895,S2896,5.57927,-0.203353,5.59229,-0.207018
S2896,S2897,5.59229,-0.207018,5.5947,-0.207692
S2897,T470,5.5947,-0.207692,5.59591,-0.209171
S2897,T470,5.5947,-0.207692,5.59591,-0.209171
S2897,T470,5.5947,-0.207692,5.59591,-0.209171
S2901,S1388,5.58683,-0.20771,5.59011,-0.207086
S2901,S1387,5.58683,-0.20771,5.58122,-0.209368
S2903,S2904,5.58011,-0.210158,5.57359,-0.214898
S2904,T1044,5.57359,-0.214898,5.57108,-0.213558
S291,S292,5.70025,-0.171972,5.69424,-0.171914
S2911,S2897,5.59363,-0.206633,5.5947,-0.207692
S292,S293,5.69424,-0.171914,5.68423,-0.171463
S2925,T0,5.60427,-0.244311,5.6074,-0.247032
S293,S294,5.68423,-0.171463,5.68093,-0.172131
S2931,T470,5.59834,-0.212207,5.59591,-0.209171
S2938,T470,5.59845,-0.217003,5.59591,-0.209171
S294,S296,5.68093,-0.172131,5.66733,-0.17822
S294,S2536,5.68093,-0.172131,5.67781,-0.173272
S2943,S6081,5.56406,-0.201824,5.56125,-0.206133
S2943,S238,5.56406,-0.201824,5.55745,-0.205691
S2945,T244,5.55395,-0.204832,5.54863,-0.201709
S2949,S2950,5.5582,-0.205674,5.56359,-0.206263
S2950,S2951,5.56359,-0.206263,5.56701,-0.206652
S2951,S2952,5.56701,-0.206652,5.57231,-0.213444
S2952,S2953,5.57231,-0.213444,5.57709,-0.209962
S2953,S2954,5.57709,-0.209962,5.57795,-0.207826
S2954,S2955,5.57795,-0.207826,5.58306,-0.206991
S2955,S2956,5.58306,-0.206991,5.58783,-0.207515
S2956,S1337,5.58783,-0.207515,5.58969,-0.207225
S2958,S2897,5.59181,-0.205657,5.5947,-0.207692
S2958,S3424,5.59181,-0.205657,5.58633,-0.207726
S296,S297,5.66733,-0.17822,5.66746,-0.195923
S2963,T2964,5.59789,-0.276659,5.59782,-0.27809
S297,S299,5.66746,-0.195923,5.66744,-0.199338
S2971,S853,5.59873,-0.26319,5.60769,-0.246312
S2974,S2975,5.60863,-0.240021,5.61046,-0.233679
S2975,S2976,5.61046,-0.233679,5.61202,-0.227524
S2976,T251,5.61202,-0.227524,5.62079,-0.225837
S2981,S2982,5.61058,-0.234195,5.61013,-0.23611
S2982,S2357,5.61013,-0.23611,5.60781,-0.24579
S299,S300,5.66744,-0.199338,5.66767,-0.205202
S2991,T2838,5.60115,-0.261169,5.59229,-0.268183
S2998,S3000,5.60594,-0.249552,5.61017,-0.234296
S3,S4,5.59908,-0.29073,5.62748,-0.31257
S300,S301,5.66767,-0.205202,5.66489,-0.2046
S300,S301,5.66767,-0.205202,5.66489,-0.2046
S300,S5710,5.66767,-0.205202,5.66121,-0.205662
S3000,S3001,5.61017,-0.234296,5.61255,-0.226798
S3001,S2522,5.61255,-0.226798,5.61747,-0.193986
S3003,S3004,5.61996,-0.185724,5.62217,-0.174665
S3004,S2523,5.62217,-0.174665,5.64155,-0.178125
S3004,S2523,5.62217,-0.174665,5.64155,-0.178125
S3007,S3008,5.65184,-0.180065,5.66054,-0.178236
S3008,S278,5.66054,-0.178236,5.66794,-0.176689
S301,S302,5.66489,-0.2046,5.66118,-0.205757
S301,S302,5.66489,-0.2046,5.66118,-0.205757
S301,S303,5.66489,-0.2046,5.65704,-0.207723
S3016,S722,5.62224,-0.178717,5.68279,-0.0141077
S302,S303,5.66118,-0.205757,5.65704,-0.207723
S302,S304,5.66118,-0.205757,5.64983,-0.209961
S302,S5712,5.66118,-0.205757,5.65832,-0.207125
S3020,S726,5.65082,0.0004795,5.64738,0.0023618
S3020,S726,5.65082,0.0004795,5.64738,0.0023618
S3022,T3023,5.63494,0.005061,5.63062,0.004512
S3026,S3027,5.63861,0.00689,5.68241,-0.025576
S3027,S3028,5.68241,-0.025576,5.65349,-0.097658
S3028,S3030,5.65349,-0.097658,5.64319,-0.123058
S303,S304,5.65704,-0.207723,5.64983,-0.209961
S303,S306,5.65704,-0.207723,5.62707,-0.218873
S3030,S3032,5.64319,-0.123058,5.64082,-0.129009
S3032,S3034,5.64082,-0.129009,5.63412,-0.145785
S3032,S3642,5.64082,-0.129009,5.59391,-0.194835
S3034,S3035,5.63412,-0.145785,5.63221,-0.150056
S3035,S3036,5.63221,-0.150056,5.62384,-0.173981
S3036,S682,5.62384,-0.173981,5.61836,-0.191623
S3039,S3040,5.61233,-0.228305,5.6065,-0.24909
S304,S305,5.64983,-0.209961,5.63416,-0.215748
S304,S539,5.64983,-0.209961,5.63865,-0.209678
S304,S815,5.64983,-0.209961,5.63898,-0.209342
S304,S539,5.64983,-0.209961,5.63865,-0.209678
S304,S5762,5.64983,-0.209961,5.63868,-0.209577
S3040,S3162,5.6065,-0.24909,5.6079,-0.245762
S3040,S3162,5.6065,-0.24909,5.6079,-0.245762
S3043,S1927,5.57184,-0.24725,5.56581,-0.236873
S3046,T113,5.55414,-0.214345,5.55108,-0.21306
S305,S306,5.63416,-0.215748,5.62707,-0.218873
S3050,S1350,5.5592,-0.225665,5.56501,-0.235657
S3053,S3055,5.58061,-0.262417,5.5873,-0.26558
S3055,T2838,5.5873,-0.26558,5.59229,-0.268183
S306,T251,5.62707,-0.218873,5.62079,-0.225837
S306,T232,5.62707,-0.218873,5.62117,-0.226022
S306,S2351,5.62707,-0.218873,5.62098,-0.223636
S306,S752,5.62707,-0.218873,5.61281,-0.226714
S3060,S3061,5.61177,-0.279721,5.61184,-0.280033
S3061,T5215,5.61184,-0.280033,5.6122,-0.284537
S3061,T3062,5.61184,-0.280033,5.61188,-0.284745
S3065,T2838,5.61101,-0.279626,5.59229,-0.268183
S3069,S3070,5.59657,-0.270753,5.59945,-0.272671
S3070,T2062,5.59945,-0.272671,5.60525,-0.275817
S3070,S3083,5.59945,-0.272671,5.60584,-0.275592
S3074,S874,5.60031,-0.273246,5.5991,-0.272502
S3074,S3094,5.60031,-0.273246,5.59938,-0.272598
S3081,S3082,5.60138,-0.273769,5.60298,-0.274761
S3082,S3083,5.60298,-0.274761,5.60584,-0.275592
S3083,S3085,5.60584,-0.275592,5.61229,-0.275343
S3083,S1734,5.60584,-0.275592,5.61686,-0.276219
