index,long_B,stopA_id,stopB_id,lat_A,long_A,lat_B,distance,time
95,-0.231372,S111,S2843,5.56564,-0.236896,5.55784,1369,252
96,-0.240522,S1110,S1111,5.55636,-0.235831,5.5575,535,137
97,-0.233351,S1110,S4699,5.55636,-0.235831,5.55586,278,53
98,-0.240742,S1111,S1112,5.5575,-0.240522,5.55766,28,10
99,-0.24754,S1111,S2401,5.5575,-0.240522,5.55347,1279,231
100,-0.246513,S1111,S3888,5.5575,-0.240522,5.55797,746,141
101,-0.247249,S1112,S947,5.55766,-0.240742,5.55902,743,138
102,-0.253545,S1117,T953,5.55529,-0.254702,5.5544,318,81
103,-0.251631,S1121,S1122,5.55355,-0.254296,5.55971,1042,251
104,-0.239798,S1122,S1123,5.55971,-0.251631,5.55777,1374,289
105,-0.246307,S1122,S2634,5.55971,-0.251631,5.55909,628,137
106,-0.232976,S1123,S1125,5.55777,-0.239798,5.55599,860,217
107,-0.238558,S1123,S2409,5.55777,-0.239798,5.56149,438,84
108,-0.236105,S1123,T2470,5.55777,-0.239798,5.56428,936,205
109,-0.235921,S1123,T75,5.55777,-0.239798,5.56507,999,243
110,-0.237487,S1123,S2608,5.55777,-0.239798,5.5634,682,119
111,-0.215964,S1125,T1081,5.55599,-0.232976,5.54539,2937,624
112,-0.235921,S1129,T75,5.57285,-0.248525,5.56507,4157,620
113,-0.250359,S1129,S1716,5.57285,-0.248525,5.57405,243,23
114,-0.245596,S1133,S1135,5.5645,-0.23443,5.57128,1449,213
115,-0.249583,S1135,T1127,5.57128,-0.245596,5.57355,4720,611
116,-0.226771,S1139,S914,5.53538,-0.229992,5.53613,366,66
117,-0.209251,S1145,T1146,5.53855,-0.211671,5.54146,646,161
118,-0.226506,S1149,S937,5.53685,-0.223547,5.53619,331,45
119,-0.226506,S1149,S937,5.53685,-0.223547,5.53619,331,45
120,-0.226506,S1149,S937,5.53685,-0.223547,5.53619,331,45
121,-0.248295,S115,S116,5.5654,-0.2253,5.58624,5475,854
122,-0.226506,S1153,S937,5.53479,-0.23291,5.53619,726,119
123,-0.237963,S1153,S1154,5.53479,-0.23291,5.53375,571,109
124,-0.238875,S1153,S4658,5.53479,-0.23291,5.53865,1145,190
125,-0.238415,S1153,S2652,5.53479,-0.23291,5.53714,924,160
126,-0.223647,S1153,S5124,5.53479,-0.23291,5.53682,1049,176
127,-0.240412,S1154,S999,5.53375,-0.237963,5.534,280,35
128,-0.244422,S1154,S2093,5.53375,-0.237963,5.5348,763,121
129,-0.251554,S116,S117,5.58624,-0.248295,5.58597,392,89
130,-0.204498,S1164,S1166,5.53359,-0.211741,5.54397,1431,176
131,-0.207545,S1164,S4352,5.53359,-0.211741,5.5401,884,104
132,-0.210101,S1164,S2318,5.53359,-0.211741,5.53721,454,57
133,-0.201709,S1166,T244,5.54397,-0.204498,5.54863,693,157
134,-0.201552,S1166,T2086,5.54397,-0.204498,5.54852,832,163
135,-0.201709,S1166,T244,5.54397,-0.204498,5.54863,693,157
136,-0.201709,S1166,T244,5.54397,-0.204498,5.54863,693,157
137,-0.251448,S117,T118,5.58597,-0.251554,5.58776,288,69
138,-0.252231,S117,S1992,5.58597,-0.251554,5.5935,887,196
139,-0.252283,S117,S2330,5.58597,-0.251554,5.59091,590,143
140,-0.251448,S117,T118,5.58597,-0.251554,5.58776,288,69
141,-0.215012,S1171,S1173,5.54214,-0.208722,5.53859,1038,201
142,-0.223547,S1173,S1149,5.53859,-0.215012,5.53685,966,189
143,-0.255874,S1179,T1180,5.53999,-0.251639,5.54229,534,88
144,-0.254933,S1179,S4922,5.53999,-0.251639,5.54185,419,70
145,-0.152084,S1183,S757,5.58734,-0.174806,5.57582,3219,298
146,-0.170827,S1183,T1184,5.58734,-0.174806,5.57788,1761,222
147,-0.180383,S1187,S5641,5.56795,-0.180797,5.57019,253,34
148,-0.180797,S1188,S1187,5.56585,-0.18116,5.56795,260,56
149,-0.188491,S1188,S6024,5.56585,-0.18116,5.57122,1146,183
150,-0.182718,S1188,S1189,5.56585,-0.18116,5.55636,1071,303
151,-0.182212,S1189,S3989,5.55636,-0.182718,5.5596,366,84
152,-0.189749,S1189,S1191,5.55636,-0.182718,5.54966,1156,241
153,-0.183343,S1189,S4478,5.55636,-0.182718,5.55495,171,23
154,-0.19467,S1191,S1192,5.54966,-0.189749,5.54872,583,63
155,-0.201018,S1192,S1193,5.54872,-0.19467,5.5486,808,135
156,-0.204909,S1193,T1181,5.5486,-0.201018,5.54328,1231,346
157,-0.234449,S1197,S1198,5.58598,-0.236899,5.58826,426,67
158,-0.233688,S1198,S1199,5.58826,-0.234449,5.58862,93,12
159,-0.229895,S1199,S1201,5.58862,-0.233688,5.59071,519,85
160,-0.298623,S12,S13,5.69745,-0.31501,5.70448,2301,381
161,-0.227391,S1201,S1202,5.59071,-0.229895,5.58849,386,55
162,-0.221458,S1202,S1204,5.58849,-0.227391,5.58512,922,134
163,-0.216525,S1204,S1205,5.58512,-0.221458,5.57348,1652,324
164,-0.216475,S1205,T1206,5.57348,-0.216525,5.56959,481,111
165,-0.216475,S1205,T1206,5.57348,-0.216525,5.56959,481,111
166,-0.216475,S1205,T1206,5.57348,-0.216525,5.56959,481,111
167,-0.238353,S1209,S1210,5.57462,-0.233005,5.57561,743,153
168,-0.239798,S121,S122,5.5863,-0.251435,5.58624,1288,205
169,-0.238616,S1210,S1212,5.57561,-0.238353,5.57741,202,45
170,-0.238675,S1210,S1243,5.57561,-0.238353,5.57747,210,46
171,-0.238675,S1210,S1243,5.57561,-0.238353,5.57747,210,46
172,-0.239061,S1212,S1214,5.57741,-0.238616,5.58143,557,113
173,-0.240306,S1214,T1215,5.58143,-0.239061,5.583,284,61
174,-0.240332,S1214,S1271,5.58143,-0.239061,5.58297,284,61
175,-0.241666,S1218,S1220,5.58144,-0.238964,5.5829,477,136
176,-0.238971,S122,S123,5.58624,-0.239798,5.58536,168,43
177,-0.24231,S1220,S1221,5.5829,-0.241666,5.58178,152,68
178,-0.244466,S1221,S1222,5.58178,-0.24231,5.58208,248,73
179,-0.239742,S1221,S1228,5.58178,-0.24231,5.58039,333,63
180,-0.245646,S1222,S1223,5.58208,-0.244466,5.58073,224,61
181,-0.246261,S1223,S1224,5.58073,-0.245646,5.57999,107,28
182,-0.251554,S1223,S117,5.58073,-0.245646,5.58597,1164,190
183,-0.247029,S1224,S1225,5.57999,-0.246261,5.57986,111,27
184,-0.24231,S1225,S1221,5.57986,-0.247029,5.58178,656,138
185,-0.227117,S1228,S1229,5.58039,-0.239742,5.58743,1823,328
186,-0.231863,S1228,S43,5.58039,-0.239742,5.5851,1216,217
187,-0.216525,S1229,S1205,5.58743,-0.227117,5.57348,2494,443
188,-0.235117,S123,T132,5.58536,-0.238971,5.58467,514,103
189,-0.228887,S1235,S1236,5.57485,-0.227457,5.57358,211,32
190,-0.23109,S1235,S1258,5.57485,-0.227457,5.5722,530,96
191,-0.232558,S1236,S1237,5.57358,-0.228887,5.5715,548,124
192,-0.235789,S1237,S1238,5.5715,-0.232558,5.57167,359,50
193,-0.238426,S1238,S1239,5.57167,-0.235789,5.57149,316,59
194,-0.238426,S1238,S1239,5.57167,-0.235789,5.57149,316,59
195,-0.236369,S1238,S4393,5.57167,-0.235789,5.57536,461,66
196,-0.238068,S1239,S1240,5.57149,-0.238426,5.57388,326,53
197,-0.238068,S1239,S1240,5.57149,-0.238426,5.57388,326,53
198,-0.237585,S1239,S4760,5.57149,-0.238426,5.57046,162,40
199,-0.238353,S1240,S1210,5.57388,-0.238068,5.57561,195,37
200,-0.238353,S1240,S1210,5.57388,-0.238068,5.57561,195,37
201,-0.239548,S1243,T1216,5.57747,-0.238675,5.58039,381,73
202,-0.238887,S1243,S1267,5.57747,-0.238675,5.579,177,31
203,-0.220578,S1250,S1251,5.58788,-0.226258,5.58024,1290,174
204,-0.216729,S1251,S1252,5.58024,-0.220578,5.57545,876,218
205,-0.216525,S1252,S1205,5.57545,-0.216729,5.57348,220,25
206,-0.235789,S1258,S1238,5.5722,-0.23109,5.57167,587,110
207,-0.239707,S1267,S1269,5.579,-0.238887,5.58046,208,65
208,-0.239061,S1269,S1214,5.58046,-0.239707,5.58143,172,40
209,-0.240606,S1269,T1195,5.58046,-0.239707,5.58438,697,150
210,-0.24683,S1271,T1246,5.58297,-0.240332,5.57972,973,253
211,-0.230823,S1276,S1277,5.57365,-0.231588,5.57214,210,41
212,-0.225603,S1276,S2170,5.57365,-0.231588,5.56534,1255,210
213,-0.228213,S1277,S1278,5.57214,-0.230823,5.5691,449,68
214,-0.218173,S1278,S1279,5.5691,-0.228213,5.55515,2710,355
215,-0.214584,S1279,S1280,5.55515,-0.218173,5.55351,522,67
216,-0.21306,S1280,T113,5.55351,-0.214584,5.55108,423,132
217,-0.227572,S1284,S1285,5.55227,-0.214835,5.56866,3290,582
218,-0.239707,S1285,S1269,5.56866,-0.227572,5.58046,2279,444
219,-0.245677,S1290,S1291,5.5784,-0.244844,5.57663,231,47
220,-0.244184,S1291,S1292,5.57663,-0.245677,5.57579,190,43
221,-0.243517,S1292,S1293,5.57579,-0.244184,5.57464,197,52
222,-0.241981,S1293,S1294,5.57464,-0.243517,5.57371,200,40
223,-0.238609,S1294,S1295,5.57371,-0.241981,5.57165,438,100
224,-0.237038,S1295,S74,5.57165,-0.238609,5.56868,396,93
225,-0.235921,S1297,T75,5.56641,-0.233892,5.56507,2185,439
226,-0.235921,S1297,T75,5.56641,-0.233892,5.56507,2185,439
227,-0.281836,S13,S14,5.70448,-0.298623,5.6877,4055,679
228,-0.242329,S1301,S1302,5.57321,-0.241136,5.57389,152,27
229,-0.244281,S1302,S1303,5.57389,-0.242329,5.57544,305,60
230,-0.245598,S1303,S1304,5.57544,-0.244281,5.57657,229,61
231,-0.244663,S1304,S1305,5.57657,-0.245598,5.57843,260,54
232,-0.242878,S1305,S1306,5.57843,-0.244663,5.57736,231,32
233,-0.242127,S1306,T1288,5.57736,-0.242878,5.57695,95,14
234,-0.216699,S1312,S1313,5.54309,-0.216124,5.5448,200,46
235,-0.216699,S1312,S1313,5.54309,-0.216124,5.5448,200,46
236,-0.217098,S1313,T900,5.5448,-0.216699,5.55023,814,141
237,-0.218337,S1313,S3402,5.5448,-0.216699,5.54826,439,61
238,-0.218295,S1313,S4268,5.5448,-0.216699,5.54832,440,61
239,-0.217777,S1313,S4638,5.5448,-0.216699,5.54776,356,46
240,-0.217777,S1313,S4638,5.5448,-0.216699,5.54776,356,46
241,-0.226001,S1317,S1318,5.53592,-0.21375,5.52969,2648,343
242,-0.228612,S1318,S1319,5.52969,-0.226001,5.52916,295,48
243,-0.236279,S1319,S1320,5.52916,-0.228612,5.52758,867,140
244,-0.207564,S1320,T3099,5.52758,-0.236279,5.54566,4550,623
245,-0.224566,S1320,S4572,5.52758,-0.236279,5.53001,1325,194
246,-0.224221,S1320,S4589,5.52758,-0.236279,5.53002,1362,198
247,-0.225399,S1320,S4815,5.52758,-0.236279,5.5298,1230,183
248,-0.236279,S1321,S1320,5.52712,-0.239462,5.52758,357,51
249,-0.241652,S1321,S1322,5.52712,-0.239462,5.52698,243,35
250,-0.249082,S1322,S1323,5.52698,-0.241652,5.52637,825,138
251,-0.237008,S1322,S4813,5.52698,-0.241652,5.52745,518,78
252,-0.250577,S1323,T894,5.52637,-0.249082,5.52624,166,27
253,-0.217957,S1327,T1328,5.60488,-0.216744,5.60746,317,94
254,-0.208087,S1331,S1333,5.60938,-0.210393,5.60783,308,48
255,-0.207327,S1331,S569,5.60938,-0.210393,5.60749,3259,382
256,-0.194835,S1331,S3642,5.60938,-0.210393,5.59391,2839,406
257,-0.203544,S1331,S3876,5.60938,-0.210393,5.60484,911,124
258,-0.207327,S1333,S569,5.60783,-0.208087,5.60749,2951,334
259,-0.202276,S1336,S2885,5.59239,-0.204243,5.59468,335,50
260,-0.207225,S1336,S1337,5.59239,-0.204243,5.58969,524,106
261,-0.208133,S1336,S200,5.59239,-0.204243,5.58503,1053,274
262,-0.207225,S1336,S1337,5.59239,-0.204243,5.58969,524,106
263,-0.207225,S1336,S1337,5.59239,-0.204243,5.58969,524,106
264,-0.205446,S1336,S3326,5.59239,-0.204243,5.59204,190,39
265,-0.196539,S1336,S3715,5.59239,-0.204243,5.5889,1410,338
266,-0.207514,S1337,S1338,5.58969,-0.207225,5.58808,182,50
267,-0.198232,S1337,S564,5.58969,-0.207225,5.59829,1476,263
268,-0.206633,S1337,S2911,5.58969,-0.207225,5.59363,582,123
269,-0.205657,S1337,S2958,5.58969,-0.207225,5.59181,300,54
270,-0.207877,S1337,S1339,5.58969,-0.207225,5.58577,442,137
271,-0.207974,S1337,T2616,5.58969,-0.207225,5.58536,488,151
272,-0.207974,S1337,T2616,5.58969,-0.207225,5.58536,488,151
273,-0.207974,S1337,T2616,5.58969,-0.207225,5.58536,488,151
274,-0.207877,S1338,S1339,5.58808,-0.207514,5.58577,260,87
275,-0.209198,S1339,S1340,5.58577,-0.207877,5.58138,517,208
276,-0.208783,S1339,S561,5.58577,-0.207877,5.58201,433,178
277,-0.201821,S1339,S4041,5.58577,-0.207877,5.56356,3433,625
278,-0.211023,S1340,S1341,5.58138,-0.209198,5.5764,755,210
279,-0.208613,S1340,S2773,5.58138,-0.209198,5.58225,117,55
280,-0.215881,S1341,T1043,5.5764,-0.211023,5.56932,2975,942
281,-0.235657,S1348,S1350,5.57404,-0.252797,5.56501,2258,387
282,-0.198538,S135,T136,5.58111,-0.197356,5.58137,341,99
283,-0.234364,S1350,S1102,5.56501,-0.235657,5.56432,162,28
284,-0.22768,S1350,S1668,5.56501,-0.235657,5.56039,1483,272
285,-0.21306,S1350,T113,5.56501,-0.235657,5.55108,3193,531
286,-0.231264,S1350,S1023,5.56501,-0.235657,5.55802,1192,208
287,-0.262417,S1350,S3053,5.56501,-0.235657,5.58061,5196,728
288,-0.219678,S1350,S3584,5.56501,-0.235657,5.56841,2239,411
289,-0.234008,S1357,S1358,5.57714,-0.233756,5.58392,1064,235
290,-0.245395,S1358,S1359,5.58392,-0.234008,5.5965,2560,496
291,-0.247616,S1359,T1360,5.5965,-0.245395,5.59846,562,115
292,-0.240802,S1363,S1364,5.59836,-0.247529,5.58903,1741,339
293,-0.226911,S1364,S1366,5.58903,-0.240802,5.58793,2064,324
294,-0.242592,S1364,S3380,5.58903,-0.240802,5.59537,740,119
295,-0.225276,S1366,S5598,5.58793,-0.226911,5.58548,328,108
296,-0.220456,S1366,S1368,5.58793,-0.226911,5.58034,1387,201
297,-0.225481,S1366,S1379,5.58793,-0.226911,5.5858,286,94
298,-0.217,S1368,S1369,5.58034,-0.220456,5.57919,443,155
299,-0.216396,S1369,S1370,5.57919,-0.217,5.57301,716,99
300,-0.218245,S1370,S5318,5.57301,-0.216396,5.59082,2974,427
301,-0.215881,S1370,T1043,5.57301,-0.216396,5.56932,1585,586
302,-0.215881,S1370,T1043,5.57301,-0.216396,5.56932,1585,586
303,-0.215881,S1370,T1043,5.57301,-0.216396,5.56932,1585,586
304,-0.215881,S1370,T1043,5.57301,-0.216396,5.56932,1585,586
305,-0.226911,S1377,S1366,5.58956,-0.228225,5.58793,232,36
306,-0.221138,S1379,S1380,5.5858,-0.225481,5.57723,1235,356
307,-0.219768,S1380,S1381,5.57723,-0.221138,5.58005,2912,686
308,-0.216396,S1381,S1370,5.58005,-0.219768,5.57301,1055,201
309,-0.209368,S1386,S1387,5.57997,-0.210309,5.58122,174,39
310,-0.207086,S1387,S1388,5.58122,-0.209368,5.59011,1037,343
311,-0.208276,S1387,T202,5.58122,-0.209368,5.58344,287,115
312,-0.208661,S1387,S5513,5.58122,-0.209368,5.58238,154,65
313,-0.210158,S1387,S2903,5.58122,-0.209368,5.58011,151,33
314,-0.206246,S1388,S1389,5.59011,-0.207086,5.59124,162,43
315,-0.205401,S1388,S5519,5.59011,-0.207086,5.5921,290,50
316,-0.207789,S1389,S1390,5.59124,-0.206246,5.5947,554,132
317,-0.209171,S1390,T470,5.5947,-0.207789,5.59591,205,56
318,-0.207979,S1394,S1395,5.58781,-0.207573,5.58569,240,80
319,-0.20826,S1395,S1396,5.58569,-0.207979,5.58409,177,63
320,-0.214903,S1396,S1397,5.58409,-0.20826,5.57379,1380,404
321,-0.215881,S1397,T1043,5.57379,-0.214903,5.56932,2640,817
322,-0.215844,S1397,T1325,5.57379,-0.214903,5.5728,149,72
323,-0.265435,S14,S15,5.6877,-0.281836,5.65746,4492,392
324,-0.265435,S14,S15,5.6877,-0.281836,5.65746,4492,392
325,-0.26566,S14,S5378,5.6877,-0.281836,5.65769,4457,390
326,-0.271994,S14,S5994,5.6877,-0.281836,5.67237,2531,232
327,-0.265024,S14,S427,5.6877,-0.281836,5.65714,4550,397
328,-0.265495,S14,S617,5.6877,-0.281836,5.65779,4458,334
329,-0.279724,S14,S658,5.6877,-0.281836,5.68573,735,117
330,-0.211042,S1407,S1408,5.57599,-0.213217,5.5788,395,108
331,-0.209368,S1408,S1387,5.5788,-0.211042,5.58122,326,76
332,-0.214903,S1413,S1397,5.579,-0.209079,5.57379,1009,298
333,-0.261262,S142,S143,5.60103,-0.255634,5.61037,8195,952
334,-0.235117,S1424,T132,5.57723,-0.233804,5.58467,1227,272
335,-0.260891,S143,S144,5.61037,-0.261262,5.6161,648,119
336,-0.235117,S1431,T132,5.57981,-0.233624,5.58467,974,206
337,-0.235117,S1431,T132,5.57981,-0.233624,5.58467,974,206
338,-0.215881,S1435,T1043,5.57285,-0.216439,5.56932,1569,583
339,-0.194644,S1439,S1441,5.56122,-0.199328,5.55715,702,91
340,-0.261898,S144,S145,5.6161,-0.260891,5.61927,370,75
341,-0.261209,S144,S3169,5.6161,-0.260891,5.61722,130,25
342,-0.184181,S1441,T1442,5.55715,-0.194644,5.55346,1340,212
343,-0.184942,S1448,S1449,5.56029,-0.209609,5.56904,3978,476
344,-0.182449,S1449,T1450,5.56904,-0.184942,5.55898,1985,321
345,-0.182449,S1449,T1450,5.56904,-0.184942,5.55898,1985,321
346,-0.261829,S145,S146,5.61927,-0.261898,5.62659,926,157
347,-0.189814,S1456,S1457,5.55838,-0.194116,5.56661,1181,177
348,-0.18735,S1457,S1458,5.56661,-0.189814,5.57047,526,104
349,-0.184942,S1458,S1449,5.57047,-0.18735,5.56904,310,40
350,-0.261719,S146,T4753,5.62659,-0.261829,5.62537,129,27
351,-0.200597,S1463,S1464,5.5555,-0.192823,5.56249,1171,140
352,-0.206164,S1464,S1465,5.56249,-0.200597,5.56371,795,182
353,-0.201408,S1464,S4001,5.56249,-0.200597,5.56419,237,28
354,-0.215881,S1465,T1043,5.56371,-0.206164,5.56932,2659,767
355,-0.204417,S1469,S237,5.56361,-0.206259,5.56256,377,61
356,-0.214872,S1474,T1467,5.56757,-0.213322,5.56891,268,45
357,-0.189111,S1478,S1479,5.55536,-0.192731,5.55285,494,94
358,-0.184181,S1479,T1442,5.55285,-0.189111,5.55346,555,87
359,-0.215996,S1483,T1416,5.56712,-0.213285,5.56861,491,104
360,-0.229316,S1487,S1489,5.5765,-0.227973,5.5805,537,122
361,-0.22985,S1489,S44,5.5805,-0.229316,5.58109,88,20
362,-0.248839,S15,S17,5.65746,-0.265435,5.6406,3191,334
363,-0.25861,S15,S380,5.65746,-0.265435,5.65291,909,71
364,-0.248396,S15,S5357,5.65746,-0.265435,5.61604,7320,812
365,-0.258739,S15,S5998,5.65746,-0.265435,5.65297,893,70
366,-0.252222,S150,S151,5.61804,-0.26153,5.59099,5903,1147
367,-0.213057,S1509,S1510,5.57182,-0.206973,5.57041,693,118
368,-0.228567,S151,S152,5.59099,-0.252222,5.56236,5833,1032
369,-0.251636,S151,S1998,5.59099,-0.252222,5.58374,845,175
370,-0.215881,S1510,T1043,5.57041,-0.213057,5.56932,1560,613
371,-0.22191,S152,S153,5.56236,-0.228567,5.5568,1360,232
372,-0.215881,S152,T1043,5.56236,-0.228567,5.56932,1659,353
373,-0.199559,S1520,T1521,5.56783,-0.200255,5.56463,547,98
374,-0.2172,S1527,S216,5.59529,-0.221889,5.58411,1371,127
375,-0.21801,S1527,S5283,5.59529,-0.221889,5.58807,920,93
376,-0.224234,S1527,S465,5.59529,-0.221889,5.59884,2393,267
377,-0.21306,S153,T113,5.5568,-0.22191,5.55108,1402,254
378,-0.219121,S153,S1636,5.5568,-0.22191,5.5554,348,38
379,-0.234124,S1530,S5259,5.6006,-0.238944,5.59861,579,117
380,-0.221889,S1530,S1527,5.6006,-0.238944,5.59529,2279,412
381,-0.240661,S1530,S1531,5.6006,-0.238944,5.60164,222,77
382,-0.239937,S1530,S2792,5.6006,-0.238944,5.60205,229,101
383,-0.244311,S1530,S2925,5.6006,-0.238944,5.60427,728,182
384,-0.247032,S1531,T0,5.60164,-0.240661,5.6074,3267,646
385,-0.241701,S1535,S34,5.60076,-0.23916,5.60264,354,99
